"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","@regression Verify click on no content link succeffully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","26149","@regression1 Verify click me button is working","webkit","Wed Oct 29 10:51:28 ICT 2025","passed","Wed Oct 29 10:51:54 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","22835","@regression1 Verify add data with empty textfield","webkit","Tue Oct 28 23:14:48 ICT 2025","passed","Tue Oct 28 23:15:11 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","23409","@smoke1 Verify open the page and open the new tab","firefox","Tue Oct 28 21:25:03 ICT 2025","passed","Tue Oct 28 21:25:27 ICT 2025","DEMOQA Browser Windows Module","smoke\AFW\browserWindows.spec.js","",""
"","0","@regression Verify add valid data","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Text Box Module","regression\elements\textBox.spec.js","",""
"","38197","@regression1 Verify edit with valid data","chromium","Tue Oct 28 23:15:58 ICT 2025","passed","Tue Oct 28 23:16:37 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","1","@regression Verify click on created link succeffully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify Collapse check box successfully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","0","@regression Verify add valid data succefully","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","1","@regression Verify click on home link succeffully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify click on Forbidden link succeffully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify edit data with invalid number format","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","22293","@smoke Verify open the page and checked checkbox","firefox","Tue Oct 28 23:28:08 ICT 2025","passed","Tue Oct 28 23:28:30 ICT 2025","DEMOQA Check Box Module","smoke\elements\checkBox.spec.js","",""
"","0","@regression Verify edit data with invalid number format","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","38463","@regression1 Verify Right Click Me button is working","firefox","Wed Oct 29 10:52:23 ICT 2025","passed","Wed Oct 29 10:53:02 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","53170","@regression1 Verify Double Click Me button is working","chromium","Wed Oct 29 10:52:17 ICT 2025","passed","Wed Oct 29 10:53:10 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","1","@regression Verify Collapse check box successfully","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","33371","@regression1 Verify edit data with empty textfield","firefox","Tue Oct 28 23:17:32 ICT 2025","passed","Tue Oct 28 23:18:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","1","@regression Verify add valid data successfully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","1","@regression Verify edit with valid data","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","21600","@smoke Verify open the page and add new data","firefox","Tue Oct 28 23:28:46 ICT 2025","passed","Tue Oct 28 23:29:07 ICT 2025","DEMOQA Web Tables Module","smoke\elements\webTables.spec.js","",""
"","0","@regression Verify add new data with invalid email format","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","20144","@regression1 Verify Collapse check box successfully","chromium","Wed Oct 29 11:13:46 ICT 2025","passed","Wed Oct 29 11:14:06 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","25821","@smoke Verify open the page and add new user","firefox","Tue Oct 28 23:28:39 ICT 2025","passed","Tue Oct 28 23:29:05 ICT 2025","DEMOQA Text Box module","smoke\elements\textBox.spec.js","",""
"","1","@regression1 Verify click on bad request link succeffully","chromium","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify edit data with empty textfield","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","25376","@regression1 Verify edit data with invalid number format","chromium","Tue Oct 28 23:17:13 ICT 2025","passed","Tue Oct 28 23:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","39939","@regression1 Verify Right Click Me button is working","webkit","Wed Oct 29 10:52:46 ICT 2025","passed","Wed Oct 29 10:53:26 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","0","@regression Verify edit with invalid email format","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify click on home41tpo link succeffully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","23881","@smoke1 Verify open the page and open the new tab","chromium","Tue Oct 28 21:25:43 ICT 2025","passed","Tue Oct 28 21:26:06 ICT 2025","DEMOQA Browser Windows Module","smoke\AFW\browserWindows.spec.js","",""
"","22887","@regression1 Verify click on home link succeffully","webkit","Wed Oct 29 13:13:10 ICT 2025","passed","Wed Oct 29 13:13:33 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","25260","@regression1 Verify add data with empty textfield","firefox","Tue Oct 28 23:14:29 ICT 2025","passed","Tue Oct 28 23:14:55 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","53975","@regression1 Verify Unchecked check box successfully","webkit","Wed Oct 29 11:12:55 ICT 2025","passed","Wed Oct 29 11:13:49 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","28813","@regression1 Verify add data with empty textfield","chromium","Tue Oct 28 23:14:42 ICT 2025","passed","Tue Oct 28 23:15:11 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@sanity Verify add new valid data successfully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web Tables Module","sanaty\elements\webTables.spec.js","",""
"","0","@regression Verify add new data with invalid phone number","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","0","@regression Verify that Impressive radio button is not selected","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Radio Button Module","regression\elements\radioButton.spec.js","",""
"","1","@regression Verify selected Impressive button","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Radio Button Module","regression\elements\radioButton.spec.js","",""
"","0","@regression1 Verify click on no content link succeffully","firefox","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","1","@sanity Verify add new valid data successfully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","sanaty\forms\practiceForm.spec.js","",""
"","0","@regression Verify click on Not Found link succeffully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","13852","@regression Verify click on New Tab button successfully","webkit","Tue Oct 28 19:51:16 ICT 2025","passed","Tue Oct 28 19:51:29 ICT 2025","DEMOQA Browser Windows Module","regression\AWS\BrowserWindows.spec.js","",""
"","29777","@regression1 Verify edit data with invalid number format","webkit","Tue Oct 28 23:16:52 ICT 2025","passed","Tue Oct 28 23:17:22 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","50394","@regression1 Verify Double Click Me button is working","webkit","Wed Oct 29 10:51:56 ICT 2025","passed","Wed Oct 29 10:52:46 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","37997","@regression1 Verify checked check box successfully","firefox","Wed Oct 29 11:12:10 ICT 2025","passed","Wed Oct 29 11:12:48 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","0","@regression Verify click on new window message button successfully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Browser Windows Module","regression\AWS\BrowserWindows.spec.js","",""
"","28410","@regression Verify click me button is working","firefox","Tue Oct 28 23:05:53 ICT 2025","passed","Tue Oct 28 23:06:22 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","1","@regression Verify click on created link succeffully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","21082","@regression1 Verify add data with invalid email","chromium","Tue Oct 28 23:15:11 ICT 2025","passed","Tue Oct 28 23:15:32 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify add data with invalid email","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","1","@regression1 Verify click on moved link succeffully","firefox","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","23760","@regression1 Verify add data with invalid email","firefox","Tue Oct 28 23:14:55 ICT 2025","passed","Tue Oct 28 23:15:18 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","7671","@regression Verify click on New Window button successfully","chromium","Wed Oct 29 13:17:31 ICT 2025","failed","Wed Oct 29 13:17:38 ICT 2025","DEMOQA Browser Windows Module","regression\AWS\BrowserWindows.spec.js","",""
"","1","@regression Verify edit with valid data","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@sanity Verify add new valid data successfully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web Tables Module","sanaty\elements\webTables.spec.js","",""
"","1","@regression Verify Maximize check box successfully","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","1","@regression Verify click me button is working","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","22496","@smoke Verify open the page and add new user","chromium","Tue Oct 28 23:27:17 ICT 2025","passed","Tue Oct 28 23:27:39 ICT 2025","DEMOQA Text Box module","smoke\elements\textBox.spec.js","",""
"","0","@regression Verify that Impressive radio button is not selected","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Radio Button Module","regression\elements\radioButton.spec.js","",""
"","0","@regression Verify add new data with empty textfields","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","20229","@smoke Verify open the page and click on the link","webkit","Tue Oct 28 23:29:39 ICT 2025","passed","Tue Oct 28 23:29:59 ICT 2025","DEMOQA Links Module","smoke\elements\Links.spec.js","",""
"","1","@regression Verify empty textfield","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Text Box Module","regression\elements\textBox.spec.js","",""
"","0","@regression Verify click on new window message button successfully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Browser Windows Module","regression\AWS\BrowserWindows.spec.js","",""
"","58015","@regression1 Verify add valid data succefully","webkit","Tue Oct 28 23:13:50 ICT 2025","passed","Tue Oct 28 23:14:48 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@sanity Verify add new valid data successfully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","sanaty\forms\practiceForm.spec.js","",""
"","27441","@regression1 Verify add data with invalid number format","firefox","Tue Oct 28 23:15:19 ICT 2025","passed","Tue Oct 28 23:15:46 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","1","@regression Verify Double Click Me button is working","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","15949","@smoke Verify open the page and open the new tab","webkit","Tue Oct 28 23:29:23 ICT 2025","passed","Tue Oct 28 23:29:38 ICT 2025","DEMOQA Browser Windows Module","smoke\AFW\browserWindows.spec.js","",""
"","0","@regression Verify add new data with invalid email format","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","0","@regression Verify add new data with empty textfields","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","0","@regression Verify add new data with invalid email format","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","38897","@regression1 Verify add valid data succefully","firefox","Tue Oct 28 23:13:50 ICT 2025","passed","Tue Oct 28 23:14:28 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","19670","@smoke Verify open the page and click on the button","chromium","Tue Oct 28 23:26:43 ICT 2025","passed","Tue Oct 28 23:27:03 ICT 2025","DEMOQA Buttons Module","smoke\elements\buttons.spec.js","",""
"","0","@regression Verify Right Click Me button is working","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","43666","@regression1 Verify checked check box successfully","webkit","Wed Oct 29 11:12:10 ICT 2025","passed","Wed Oct 29 11:12:54 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","24901","@smoke Verify open the page and selected radio button successfully","chromium","Tue Oct 28 23:27:16 ICT 2025","passed","Tue Oct 28 23:27:40 ICT 2025","DEMOQA Radio Button Module","smoke\elements\radioButton.spec.js","",""
"","0","@regression Verify click on bad request link succeffully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify Double Click Me button is working","webkit","Tue Oct 28 20:04:55 ICT 2025","skipped","Tue Oct 28 20:04:55 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","0","@sanity Verify add new valid data successfully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Text Box Module","sanaty\elements\textBoxSanity.spec.js","",""
"","24180","@regression1 Verify add data with invalid number format","webkit","Tue Oct 28 23:15:32 ICT 2025","passed","Tue Oct 28 23:15:57 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","12642","@smoke1 Verify open the page and open the new tab","webkit","Tue Oct 28 21:26:31 ICT 2025","passed","Tue Oct 28 21:26:44 ICT 2025","DEMOQA Browser Windows Module","smoke\AFW\browserWindows.spec.js","",""
"","0","@regression Verify add valid data succefully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","14428","@smoke Verify open the page and selected radio button successfully","webkit","Tue Oct 28 23:29:39 ICT 2025","passed","Tue Oct 28 23:29:54 ICT 2025","DEMOQA Radio Button Module","smoke\elements\radioButton.spec.js","",""
"","0","@regression Verify add new data with invalid phone number","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","0","@regression Verify click on no content link succeffully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify edit data with invalid number format","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","20295","@smoke Verify open the page and add new user","webkit","Tue Oct 28 23:29:54 ICT 2025","passed","Tue Oct 28 23:30:14 ICT 2025","DEMOQA Text Box module","smoke\elements\textBox.spec.js","",""
"","20259","@regression1 Verify Double Click Me button is working","firefox","Wed Oct 29 10:52:03 ICT 2025","passed","Wed Oct 29 10:52:23 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","0","@regression Verify add valid data successfully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","17755","@smoke1 Verify open the page and add new user","firefox","Tue Oct 28 21:28:03 ICT 2025","passed","Tue Oct 28 21:28:20 ICT 2025","DEMOQA Practice Form Module","smoke\forms\practiceForm.spec.js","",""
"","29395","@smoke Verify open the page and open the new tab","chromium","Tue Oct 28 23:26:45 ICT 2025","passed","Tue Oct 28 23:27:14 ICT 2025","DEMOQA Browser Windows Module","smoke\AFW\browserWindows.spec.js","",""
"","0","@regression1 Verify click on home41tpo link succeffully","webkit","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","15887","@regression Verify Double Click Me button is working","firefox","Tue Oct 28 23:06:23 ICT 2025","passed","Tue Oct 28 23:06:39 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","0","@regression Verify click on Forbidden link succeffully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","30568","@regression1 Verify edit with valid data","firefox","Tue Oct 28 23:15:46 ICT 2025","passed","Tue Oct 28 23:16:17 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","1","@regression Verify Maximize check box successfully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","0","@regression Verify click on moved link succeffully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","23734","@smoke Verify open the page and add new user","chromium","Tue Oct 28 23:27:39 ICT 2025","passed","Tue Oct 28 23:28:03 ICT 2025","DEMOQA Practice Form Module","smoke\forms\practiceForm.spec.js","",""
"","0","@regression Verify edit data with empty textfield","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","14669","@regression Verify click on New Tab button successfully","chromium","Wed Oct 29 13:17:16 ICT 2025","passed","Wed Oct 29 13:17:30 ICT 2025","DEMOQA Browser Windows Module","regression\AWS\BrowserWindows.spec.js","",""
"","1","@regression1 Verify click on Not Found link succeffully","firefox","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","31664","@regression1 Verify Maximize check box successfully","webkit","Wed Oct 29 11:13:49 ICT 2025","passed","Wed Oct 29 11:14:20 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","0","@regression Verify Unchecked check box successfully","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
